class_alias,attacker,defender,mut_live_attempts,mut_compiles_attempts,mut_compiles_failure,test_killing_attempts,test_compiles_attempts,test_compiles_failure
CaseInsensitiveString,pro,sonnet,1.0,2.5294117647058822,1.05,1.0,2.9722222222222228,2.0
CaseInsensitiveString,sonnet,4.1,1.5,1.7222222222222223,0.35,1.0,1.9479166666666667,0.1875
CaseInsensitiveString,sonnet,4.1 mini,1.4166666666666667,1.7807017543859647,0.3,1.0,2.1833333333333336,0.9166666666666666
CaseInsensitiveString,sonnet,flash,1.4375,1.05,0.0,1.1,2.0,1.0625
CaseInsensitiveString,sonnet,haiku,1.1666666666666667,2.7777777777777777,1.3,1.0,2.361111111111111,0.8333333333333334
CaseInsensitiveString,sonnet,pro,1.4,1.05,0.0,1.0,1.9,1.1333333333333333
CaseInsensitiveString,sonnet,sonnet,1.1666666666666667,1.2916666666666665,0.1,1.0,2.0,2.8333333333333335
CharRange,4.1,4.1,1.0,1.0166666666666666,0.0,1.0,2.0,0.0
CharRange,4.1,4.1 mini,2.0,1.0,0.0,1.0,1.6666666666666667,0.3333333333333333
CharRange,4.1,flash,1.75,1.0,0.0,1.0,1.0,0.0
CharRange,4.1,haiku,1.0,1.0166666666666666,0.0,1.0,1.0,0.0
CharRange,4.1,pro,1.0,1.0,0.0,1.0,1.0,0.0
CharRange,4.1,sonnet,2.0,1.0,0.0,1.0,1.0,0.0
CharRange,4.1 mini,4.1,1.75,1.0,0.0,1.0,2.5,0.25
CharRange,4.1 mini,4.1 mini,1.5,1.0,0.0,1.2,2.055555555555556,0.3333333333333333
CharRange,4.1 mini,flash,1.4,1.0,0.0,1.0,1.0,0.0
CharRange,4.1 mini,haiku,1.7142857142857142,1.0,0.0,1.0,2.25,1.2857142857142858
CharRange,4.1 mini,pro,1.6,1.0,0.0,1.0,2.0,0.0
CharRange,4.1 mini,sonnet,2.25,1.0,0.0,1.0,2.5,2.5
CharRange,flash,4.1,1.5,2.0166666666666666,0.1,1.2857142857142858,1.4666666666666666,0.0
CharRange,flash,4.1 mini,1.5454545454545454,2.316666666666667,0.05,1.3333333333333333,2.696969696969697,0.18181818181818182
CharRange,flash,flash,1.3,2.025,0.1,1.1,1.1,0.0
CharRange,flash,haiku,1.9230769230769231,1.7416666666666667,0.1,1.0,2.033333333333333,1.0
CharRange,flash,pro,1.8333333333333333,1.525,0.05,1.0,1.0,0.0
CharRange,flash,sonnet,1.5454545454545454,1.8166666666666669,0.05,1.0,2.0740740740740744,0.7272727272727273
CharRange,haiku,4.1,1.4615384615384615,1.1416666666666666,0.0,1.0,1.2727272727272727,0.46153846153846156
CharRange,haiku,4.1 mini,1.1,1.1833333333333331,0.0,1.0,1.259259259259259,0.3
CharRange,haiku,flash,1.9090909090909092,1.1083333333333334,0.0,1.0,1.1515151515151514,0.0
CharRange,haiku,haiku,1.7142857142857142,1.2,0.0,1.0,1.8484848484848486,1.0
CharRange,haiku,pro,1.8461538461538463,1.075,0.0,1.0,2.727272727272727,0.6153846153846154
CharRange,haiku,sonnet,1.5714285714285714,1.1333333333333333,0.0,1.0,1.0,2.142857142857143
CharRange,pro,4.1,1.375,1.9833333333333336,0.15,1.0,1.875,0.0
CharRange,pro,4.1 mini,1.5555555555555556,2.033333333333333,0.1,1.2857142857142858,1.5185185185185182,0.2222222222222222
CharRange,pro,flash,1.5714285714285714,1.9833333333333332,0.35,1.0,1.0,0.0
CharRange,pro,haiku,1.5454545454545454,2.1083333333333334,0.15,1.3333333333333333,1.7592592592592593,0.8181818181818182
CharRange,pro,pro,1.4,1.8833333333333335,0.2,1.0,1.0,0.3
CharRange,pro,sonnet,1.3333333333333333,2.1,0.1,1.0,1.5,1.0
CharRange,sonnet,4.1,,,3.0,,,
CharRange,sonnet,4.1 mini,,,3.0,,,
CharRange,sonnet,flash,1.7142857142857142,1.5583333333333331,0.0,1.0,1.0,0.0
CharRange,sonnet,haiku,,,3.0,,,
CharRange,sonnet,pro,1.7142857142857142,1.4166666666666667,0.0,1.1428571428571428,1.3571428571428572,0.0
CharRange,sonnet,sonnet,,,3.0,,,
Complex,4.1,4.1,1.6363636363636365,1.0,0.0,1.0,1.4583333333333335,0.8181818181818182
Complex,4.1,4.1 mini,1.6666666666666667,1.0,0.0,1.6666666666666667,1.5833333333333333,0.16666666666666666
Complex,4.1,flash,1.8,1.0,0.0,1.0,1.2,0.0
Complex,4.1,haiku,1.4545454545454546,1.0,0.0,1.2,2.5,1.3636363636363635
Complex,4.1,pro,1.8333333333333333,1.0,0.0,1.0,1.1666666666666667,0.0
Complex,4.1,sonnet,1.5,1.0,0.0,1.0,1.2222222222222223,0.3
Complex,4.1 mini,4.1,1.8571428571428572,1.0,0.0,1.2,1.6666666666666667,0.2857142857142857
Complex,4.1 mini,4.1 mini,1.125,1.0666666666666669,0.0,1.5,2.5,0.25
Complex,4.1 mini,flash,1.5555555555555556,1.0583333333333331,0.0,1.0,1.5,0.8888888888888888
Complex,4.1 mini,haiku,1.6923076923076923,1.05,0.0,1.0,3.0,1.2307692307692308
Complex,4.1 mini,pro,1.6428571428571428,1.0,0.0,1.0,1.0,1.2857142857142858
Complex,4.1 mini,sonnet,1.4166666666666667,1.0166666666666668,0.0,1.0,1.2272727272727273,0.3333333333333333
Complex,flash,4.1,1.8,1.8166666666666669,0.1,1.0,1.8222222222222222,0.06666666666666667
Complex,flash,4.1 mini,1.6,1.8583333333333332,0.15,1.2222222222222223,1.1333333333333333,0.0
Complex,flash,flash,1.6,2.2,0.05,1.0,1.0,0.0
Complex,flash,haiku,1.588235294117647,1.725,0.05,1.375,2.8636363636363638,1.6470588235294117
Complex,flash,pro,1.9166666666666667,1.7333333333333332,0.0,1.0,1.0909090909090908,0.25
Complex,flash,sonnet,1.8571428571428572,1.9333333333333336,0.15,1.0,1.3205128205128207,0.2857142857142857
Complex,haiku,4.1,1.5,1.05,0.0,1.0,2.0666666666666664,1.0
Complex,haiku,4.1 mini,1.875,1.1916666666666669,0.0,1.5,1.5,0.0
Complex,haiku,flash,1.8333333333333333,1.1166666666666667,0.0,1.0,1.6666666666666667,1.8333333333333333
Complex,haiku,haiku,1.6,1.1333333333333333,0.0,1.0,2.6666666666666665,0.4
Complex,haiku,pro,1.7777777777777777,1.1166666666666667,0.0,2.0,2.4,1.7777777777777777
Complex,haiku,sonnet,1.8,1.1166666666666667,0.0,1.0,1.2,0.2
Complex,pro,4.1,2.0,1.875,0.0,1.1666666666666667,1.1666666666666667,0.16666666666666666
Complex,pro,4.1 mini,1.4444444444444444,1.95,0.1,1.0,1.5555555555555556,0.2222222222222222
Complex,pro,flash,1.8571428571428572,1.9416666666666664,0.05,1.0,1.0,0.0
Complex,pro,haiku,1.75,1.925,0.05,1.0,2.952380952380952,0.75
Complex,pro,pro,1.3333333333333333,1.9833333333333332,0.05,1.0,1.2222222222222223,0.0
Complex,pro,sonnet,1.5555555555555556,1.725,0.0,1.0,1.6296296296296298,0.2222222222222222
Complex,sonnet,4.1,1.6666666666666667,1.2583333333333333,0.0,1.6666666666666667,1.2,0.5
Complex,sonnet,4.1 mini,1.5,1.15,0.0,1.5,1.75,0.0
Complex,sonnet,flash,1.5555555555555556,1.0166666666666668,0.0,1.0,1.0,0.5555555555555556
Complex,sonnet,haiku,1.0,1.3333333333333333,0.0,,2.5416666666666665,1.0
Complex,sonnet,pro,1.5555555555555556,1.0,0.0,1.0,1.1111111111111112,0.0
Complex,sonnet,sonnet,1.5,1.15,0.0,1.0,1.0,1.5
Document,4.1,4.1,1.75,1.0,0.0,1.0,1.0,2.625
Document,4.1,4.1 mini,1.6666666666666667,1.0,0.0,1.0,3.0,2.75
Document,4.1,flash,1.375,1.0,0.0,1.0,1.0,2.625
Document,4.1,haiku,1.4,1.0,0.0,,1.8,0.4
Document,4.1,pro,1.1818181818181819,1.0,0.0,1.0,2.0,2.4545454545454546
Document,4.1,sonnet,2.0,1.0,0.0,1.0,1.0,2.3333333333333335
Document,4.1 mini,4.1,1.5263157894736843,1.0,0.0,,,3.0
Document,4.1 mini,4.1 mini,1.6111111111111112,1.0166666666666668,0.0,,,3.0
Document,4.1 mini,flash,1.6111111111111112,1.0,0.0,,,3.0
Document,4.1 mini,haiku,1.6111111111111112,1.025,0.0,,2.111111111111111,0.3888888888888889
Document,4.1 mini,pro,1.5263157894736843,1.0,0.0,,,3.0
Document,4.1 mini,sonnet,1.2941176470588236,1.05,0.0,1.0,1.0,2.823529411764706
Document,flash,4.1,1.0,1.45,0.0,,,3.0
Document,flash,4.1 mini,1.0,1.3,0.0,,,3.0
Document,flash,flash,1.0,1.3,0.05,,3.125,2.7
Document,flash,haiku,1.0,1.3,0.0,,3.035714285714286,1.5
Document,flash,pro,1.0,1.5,0.0,,1.0,2.95
Document,flash,sonnet,1.05,1.4,0.0,,,3.0
Document,haiku,4.1,1.2,1.425,0.0,1.0,3.0,2.85
Document,haiku,4.1 mini,1.05,1.15,0.0,,,3.0
Document,haiku,flash,1.1,1.1,0.0,,2.833333333333333,2.8
Document,haiku,haiku,1.05,1.5,0.0,,2.4215686274509802,1.05
Document,haiku,pro,1.15,1.2,0.0,1.0,3.0,2.85
Document,haiku,sonnet,1.0526315789473684,1.45,0.0,,3.5,2.8947368421052633
Document,pro,4.1,1.6153846153846154,1.2833333333333337,0.0,,,3.0
Document,pro,4.1 mini,1.7857142857142858,1.4916666666666667,0.0,,,3.0
Document,pro,flash,1.8461538461538463,1.1166666666666667,0.0,,2.75,2.5384615384615383
Document,pro,haiku,1.7692307692307692,1.5083333333333333,0.0,,2.569444444444444,1.3846153846153846
Document,pro,pro,2.0,1.1666666666666665,0.0,,,3.0
Document,pro,sonnet,1.2307692307692308,1.2166666666666668,0.0,,,3.0
Document,sonnet,4.1,1.3333333333333333,1.0,0.0,,1.6666666666666667,2.0
Document,sonnet,4.1 mini,1.6666666666666667,1.0,0.0,,3.833333333333333,1.6666666666666667
Document,sonnet,flash,1.5714285714285714,1.0,0.0,1.0,2.0,2.4285714285714284
Document,sonnet,haiku,1.25,1.0,0.0,,1.8333333333333335,0.0
Document,sonnet,pro,1.6,1.0,0.0,1.0,2.7083333333333335,2.0
Document,sonnet,sonnet,1.0,1.0,0.0,,2.0,1.5
IntHashMap,4.1,4.1,1.2352941176470589,1.0916666666666668,0.0,1.0,1.5784313725490196,0.058823529411764705
IntHashMap,4.1,4.1 mini,1.5789473684210527,1.15,0.0,1.75,1.2894736842105263,0.10526315789473684
IntHashMap,4.1,flash,1.5789473684210527,1.575,0.05,1.0833333333333333,1.6470588235294117,0.5263157894736842
IntHashMap,4.1,haiku,1.4705882352941178,1.1833333333333331,0.0,1.0,2.066666666666667,0.9411764705882353
IntHashMap,4.1,pro,1.4375,1.0416666666666665,0.0,1.0,1.393939393939394,0.9375
IntHashMap,4.1,sonnet,1.6470588235294117,1.1666666666666667,0.0,1.0,2.3333333333333335,2.4705882352941178
IntHashMap,4.1 mini,4.1,1.4,1.1,0.0,1.3333333333333333,1.4000000000000001,0.0
IntHashMap,4.1 mini,4.1 mini,1.5,1.0666666666666667,0.0,1.0,1.4375,0.0
IntHashMap,4.1 mini,flash,1.4444444444444444,1.1166666666666667,0.0,1.0,2.6805555555555554,1.5
IntHashMap,4.1 mini,haiku,1.3,1.1083333333333332,0.0,1.0,2.2500000000000004,0.4
IntHashMap,4.1 mini,pro,1.375,1.0,0.0,1.0,1.2857142857142858,1.8125
IntHashMap,4.1 mini,sonnet,1.6666666666666667,1.1166666666666667,0.0,1.0,1.0,2.8333333333333335
IntHashMap,flash,4.1,1.1538461538461537,2.5,1.2,1.0,2.4444444444444446,0.7692307692307693
IntHashMap,flash,4.1 mini,1.0769230769230769,2.9615384615384617,1.25,1.25,1.5128205128205126,0.15384615384615385
IntHashMap,flash,flash,1.2307692307692308,2.5238095238095233,1.4,1.0,1.6666666666666667,0.3076923076923077
IntHashMap,flash,haiku,1.0769230769230769,2.4615384615384617,1.35,1.0,2.015151515151515,1.3076923076923077
IntHashMap,flash,pro,1.0714285714285714,2.7333333333333334,1.15,1.0,2.9545454545454546,1.1428571428571428
IntHashMap,flash,sonnet,1.0714285714285714,2.107142857142857,1.2,1.0,1.6666666666666667,2.0
IntHashMap,haiku,4.1,1.6875,1.35,0.05,1.0,1.4583333333333333,0.0
IntHashMap,haiku,4.1 mini,1.6153846153846154,1.1666666666666665,0.1,,1.5641025641025643,0.0
IntHashMap,haiku,flash,1.5,1.2962962962962965,0.4,1.5,3.0,2.0
IntHashMap,haiku,haiku,1.4615384615384615,1.0833333333333333,0.65,,2.897435897435898,0.9230769230769231
IntHashMap,haiku,pro,1.5,1.2456140350877194,0.25,1.0,2.125,2.5
IntHashMap,haiku,sonnet,1.3571428571428572,1.074074074074074,0.4,,1.0,2.7857142857142856
IntHashMap,pro,4.1,1.0,2.0,2.7,,1.0,0.0
IntHashMap,pro,4.1 mini,1.0,2.3333333333333335,2.7,1.0,1.4444444444444444,0.0
IntHashMap,pro,flash,1.0,4.0,2.95,,3.0,2.0
IntHashMap,pro,haiku,1.0,3.0,2.8,,2.6666666666666665,1.5
IntHashMap,pro,pro,,,3.0,,,
IntHashMap,pro,sonnet,1.0,3.0,2.85,,1.6666666666666667,0.0
IntHashMap,sonnet,4.1,1.3333333333333333,1.0166666666666668,0.0,1.0,1.4583333333333333,0.3333333333333333
IntHashMap,sonnet,4.1 mini,1.5454545454545454,1.0,0.0,1.0,1.3333333333333335,0.0
IntHashMap,sonnet,flash,1.4736842105263157,1.025,0.0,1.0,2.4,1.5789473684210527
IntHashMap,sonnet,haiku,1.2,1.025,0.0,,2.3333333333333335,0.6
IntHashMap,sonnet,pro,1.3333333333333333,1.0166666666666668,0.0,1.0,2.1,1.7222222222222223
IntHashMap,sonnet,sonnet,1.2352941176470589,1.0,0.0,1.0,1.0,2.823529411764706
Option,4.1,4.1,1.1,1.0,0.0,1.0,1.4444444444444444,1.25
Option,4.1,4.1 mini,1.35,1.0,0.0,1.0,2.743589743589744,1.45
Option,4.1,flash,1.3,1.0,0.0,1.0,1.25,0.2
Option,4.1,haiku,1.0,1.0,0.0,1.0,2.009803921568628,0.75
Option,4.1,pro,1.35,1.0,0.0,1.0,1.1833333333333331,0.05
Option,4.1,sonnet,1.0,1.05,0.0,1.0,2.1,2.3
Option,4.1 mini,4.1,1.6923076923076923,1.0166666666666666,0.0,1.0,1.7777777777777777,0.23076923076923078
Option,4.1 mini,4.1 mini,1.4,1.0,0.0,1.5,1.9333333333333336,0.6
Option,4.1 mini,flash,1.8333333333333333,1.0,0.0,1.0,2.555555555555556,0.4166666666666667
Option,4.1 mini,haiku,1.3529411764705883,1.0,0.0,1.25,1.987179487179487,1.4705882352941178
Option,4.1 mini,pro,2.0,1.0,0.0,1.0,1.0,0.0
Option,4.1 mini,sonnet,1.375,1.0,0.0,1.0,2.027777777777778,0.875
Option,flash,4.1,,,3.0,,,
Option,flash,4.1 mini,,,3.0,,,
Option,flash,flash,,,3.0,,,
Option,flash,haiku,,,3.0,,,
Option,flash,pro,,,3.0,,,
Option,flash,sonnet,,,3.0,,,
Option,haiku,4.1,,4.4,2.75,,,
Option,haiku,4.1 mini,,1.0,2.9,,,
Option,haiku,flash,,1.0,2.95,,,
Option,haiku,haiku,,2.0,2.95,,,
Option,haiku,pro,,,3.0,,,
Option,haiku,sonnet,,4.0,2.95,,,
Option,pro,4.1,,,3.0,,,
Option,pro,4.1 mini,,,3.0,,,
Option,pro,flash,,,3.0,,,
Option,pro,haiku,,,3.0,,,
Option,pro,pro,,,3.0,,,
Option,pro,sonnet,,,3.0,,,
Rational,4.1,4.1,1.25,1.025,0.0,1.1666666666666667,2.2,1.1666666666666667
Rational,4.1,4.1 mini,1.6666666666666667,1.0,0.0,1.25,1.4,0.8333333333333334
Rational,4.1,flash,1.375,1.0166666666666666,0.0,1.1428571428571428,1.2857142857142858,0.375
Rational,4.1,haiku,1.2,1.0,0.0,1.0,2.7870370370370368,1.2
Rational,4.1,pro,1.875,1.0,0.0,1.0,1.6458333333333333,0.375
Rational,4.1,sonnet,1.15,1.0,0.0,1.0,1.0,2.7
Rational,4.1 mini,4.1,1.3125,1.0,0.0,1.6666666666666667,1.976190476190476,0.625
Rational,4.1 mini,4.1 mini,1.5,1.0166666666666668,0.0,1.0,1.888888888888889,0.25
Rational,4.1 mini,flash,1.5833333333333333,1.0,0.0,1.0,1.796296296296296,0.8333333333333334
Rational,4.1 mini,haiku,1.5833333333333333,1.0,0.0,1.0,2.15,0.8333333333333334
Rational,4.1 mini,pro,1.75,1.0166666666666668,0.0,1.1111111111111112,1.1,0.6666666666666666
Rational,4.1 mini,sonnet,1.35,1.0,0.0,1.3333333333333333,1.0,2.4
Rational,flash,4.1,1.3333333333333333,3.3,2.2,1.0,1.2777777777777777,0.0
Rational,flash,4.1 mini,1.25,2.3333333333333335,1.85,1.1428571428571428,1.3125,0.0
Rational,flash,flash,1.0,2.8095238095238098,1.45,1.0,1.0,0.0
Rational,flash,haiku,1.2,1.9615384615384615,1.65,1.5714285714285714,1.7037037037037035,0.6
Rational,flash,pro,1.3,3.3846153846153846,1.75,1.0,1.1,0.1
Rational,flash,sonnet,1.1333333333333333,2.8,0.9,1.0,1.7142857142857142,1.6666666666666667
Rational,haiku,4.1,1.7272727272727273,1.25,0.0,1.2857142857142858,1.696969696969697,0.09090909090909091
Rational,haiku,4.1 mini,1.5333333333333334,1.3166666666666667,0.0,1.4,1.9333333333333333,0.26666666666666666
Rational,haiku,flash,1.4666666666666666,1.15,0.0,1.0,1.6410256410256412,0.7333333333333333
Rational,haiku,haiku,1.375,1.4916666666666667,0.0,2.0,1.6785714285714284,0.75
Rational,haiku,pro,1.4285714285714286,1.0833333333333333,0.0,1.0,1.7727272727272727,1.0714285714285714
Rational,haiku,sonnet,1.6666666666666667,1.075,0.0,1.0,1.0714285714285714,1.6666666666666667
Rational,pro,4.1,2.0,2.7982456140350878,1.15,1.3333333333333333,1.4285714285714286,0.0
Rational,pro,4.1 mini,1.25,2.5370370370370368,1.0,1.1428571428571428,1.0,0.375
Rational,pro,flash,1.2222222222222223,2.425,1.15,1.125,1.125,0.3333333333333333
Rational,pro,haiku,1.0,2.475,0.8,1.4,2.3958333333333335,0.7777777777777778
Rational,pro,pro,1.2727272727272727,2.526315789473684,0.9,1.0,1.2727272727272727,0.0
Rational,pro,sonnet,1.2,2.466666666666667,0.85,1.0,1.4285714285714286,0.9
Rational,sonnet,4.1,2.0,1.0,0.0,,1.0,0.0
Rational,sonnet,4.1 mini,1.5,1.0,0.0,1.0,1.0,0.0
Rational,sonnet,flash,1.0,1.0,0.0,1.0,1.0,2.0
Rational,sonnet,haiku,1.5,1.0,0.0,1.0,1.5,0.5
Rational,sonnet,pro,1.8,1.0,0.0,1.0,1.0,1.2
Rational,sonnet,sonnet,1.0,1.0,0.0,,,3.0
SparseIntArray,4.1,4.1,1.5,1.0166666666666668,0.0,1.0,1.0,0.0
SparseIntArray,4.1,4.1 mini,1.5555555555555556,1.05,0.0,1.0,1.0,0.0
SparseIntArray,4.1,flash,1.9090909090909092,1.0,0.0,1.0,1.5757575757575757,0.09090909090909091
SparseIntArray,4.1,haiku,1.6875,1.025,0.0,1.0,1.759259259259259,1.4375
SparseIntArray,4.1,pro,1.7777777777777777,1.0416666666666667,0.0,1.0,1.2407407407407407,0.1111111111111111
SparseIntArray,4.1,sonnet,2.1666666666666665,1.0,0.0,1.0,1.0,0.5
SparseIntArray,4.1 mini,4.1,2.0,1.65,0.0,1.0,1.0,0.0
SparseIntArray,4.1 mini,4.1 mini,1.9333333333333333,1.625,0.0,1.0,1.2666666666666666,0.0
SparseIntArray,4.1 mini,flash,1.5714285714285714,1.4,0.0,1.0,2.0833333333333335,1.0714285714285714
SparseIntArray,4.1 mini,haiku,1.5714285714285714,1.35,0.0,1.25,1.7142857142857142,0.14285714285714285
SparseIntArray,4.1 mini,pro,1.4375,1.2416666666666667,0.0,1.0,1.4743589743589745,0.6875
SparseIntArray,4.1 mini,sonnet,1.6842105263157894,1.225,0.0,1.0,1.0,2.0526315789473686
SparseIntArray,flash,4.1,1.2857142857142858,2.4035087719298245,1.35,1.0,1.7142857142857142,0.0
SparseIntArray,flash,4.1 mini,1.2,2.5833333333333335,1.75,1.2,1.2,0.2
SparseIntArray,flash,flash,1.1111111111111112,2.9722222222222223,1.45,1.0,1.375,0.4444444444444444
SparseIntArray,flash,haiku,1.1428571428571428,2.9166666666666665,1.95,1.2,2.047619047619048,0.2857142857142857
SparseIntArray,flash,pro,1.0,2.75,2.2,1.0,2.0,0.3333333333333333
SparseIntArray,flash,sonnet,1.1428571428571428,2.8555555555555556,1.7,1.0,1.7,1.0
SparseIntArray,haiku,4.1,1.4,2.2916666666666665,0.45,1.1111111111111112,1.1222222222222222,0.06666666666666667
SparseIntArray,haiku,4.1 mini,1.2666666666666666,2.575,0.8,1.0,1.0666666666666667,0.0
SparseIntArray,haiku,flash,1.3571428571428572,2.425925925925926,0.8,1.0,1.7575757575757578,0.6428571428571429
SparseIntArray,haiku,haiku,1.1875,2.973684210526316,0.7,1.6666666666666667,1.8222222222222224,0.5
SparseIntArray,haiku,pro,1.6363636363636365,2.325,0.9,1.0,1.2833333333333332,0.6363636363636364
SparseIntArray,haiku,sonnet,1.4545454545454546,2.185185185185185,1.1,1.25,1.5,1.5454545454545454
SparseIntArray,pro,4.1,1.0,2.0,2.65,1.0,1.0,0.0
SparseIntArray,pro,4.1 mini,,,3.0,,,
SparseIntArray,pro,flash,1.0,1.3333333333333333,2.65,1.0,3.0,0.0
