Classname,game_id,SetupID,MutantID,turn,attempt,submission
Complex,236,setup_15,12298,18,3,1
Complex,236,setup_15,12537,20,3,1
Complex,237,setup_0,10343,1,1,1
Complex,237,setup_0,10468,2,2,1
Complex,237,setup_0,10703,3,3,1
Complex,237,setup_0,10900,5,1,1
Complex,237,setup_0,11740,12,1,2
Complex,238,setup_13,10324,1,1,1
Complex,238,setup_13,10384,2,1,1
Complex,238,setup_13,10486,3,1,1
Complex,238,setup_13,10656,4,1,1
Complex,238,setup_13,10780,5,1,1
Complex,238,setup_13,10873,6,1,1
Complex,238,setup_13,11079,7,1,1
Complex,238,setup_13,11216,8,3,1
Complex,238,setup_13,11649,11,2,1
Complex,238,setup_13,11754,12,2,1
Complex,238,setup_13,12009,15,1,1
Complex,238,setup_13,12314,19,2,1
Complex,240,setup_19,10322,1,1,1
Complex,240,setup_19,10473,3,2,1
Complex,240,setup_19,10562,4,1,1
Complex,240,setup_19,10687,5,1,1
Complex,240,setup_19,10712,6,1,1
Complex,240,setup_19,10838,8,1,1
Complex,240,setup_19,11030,9,3,1
Complex,240,setup_19,11186,12,2,1
Complex,240,setup_19,11440,14,2,1
Complex,240,setup_19,11492,15,1,1
Complex,241,setup_20,10388,1,1,1
Complex,241,setup_20,10444,2,1,1
Complex,241,setup_20,10581,3,1,1
Complex,241,setup_20,10778,5,2,1
Complex,241,setup_20,11063,8,3,1
Complex,241,setup_20,11762,18,2,1
Complex,242,setup_3,12409,20,3,1
Complex,242,setup_3,10408,1,1,1
Complex,242,setup_3,10546,2,1,1
Complex,242,setup_3,10861,4,2,1
Complex,242,setup_3,11342,9,1,1
Complex,242,setup_3,12283,19,1,1
Complex,243,setup_6,12423,6,1,1
Complex,243,setup_6,11947,1,1,1
Complex,243,setup_6,12046,2,1,1
Complex,243,setup_6,12584,8,1,1
SparseIntArray,374,setup_159,15442,1,1,1
SparseIntArray,374,setup_159,15482,2,1,1
SparseIntArray,374,setup_159,15663,3,2,2
SparseIntArray,374,setup_159,16123,5,2,3
SparseIntArray,374,setup_159,16570,7,3,3
SparseIntArray,374,setup_159,16766,8,1,3
SparseIntArray,374,setup_159,16892,9,3,1
SparseIntArray,374,setup_159,17248,11,1,2
SparseIntArray,374,setup_159,17350,12,2,1
SparseIntArray,374,setup_159,17414,13,1,1
SparseIntArray,374,setup_159,17801,15,3,1
SparseIntArray,374,setup_159,18208,17,3,1
SparseIntArray,374,setup_159,18469,18,3,2
SparseIntArray,375,setup_153,15432,1,1,1
SparseIntArray,375,setup_153,15560,2,2,1
SparseIntArray,376,setup_158,16462,8,3,2
SparseIntArray,376,setup_158,15444,1,1,1
SparseIntArray,376,setup_158,15477,2,1,1
SparseIntArray,376,setup_158,15527,3,1,1
SparseIntArray,376,setup_158,15725,4,2,2
SparseIntArray,376,setup_158,15784,5,1,1
SparseIntArray,376,setup_158,16071,6,3,1
SparseIntArray,376,setup_158,16789,9,3,1
SparseIntArray,376,setup_158,17000,10,3,2
SparseIntArray,376,setup_158,17228,11,3,1
SparseIntArray,376,setup_158,17453,12,3,2
SparseIntArray,376,setup_158,17592,13,1,4
SparseIntArray,376,setup_158,17651,14,1,1
SparseIntArray,376,setup_158,17999,16,2,1
SparseIntArray,376,setup_158,18324,18,1,1
SparseIntArray,377,setup_156,15514,1,1,1
SparseIntArray,377,setup_156,15628,2,1,2
SparseIntArray,377,setup_156,15747,3,1,1
SparseIntArray,377,setup_156,15926,4,1,1
SparseIntArray,377,setup_156,16215,5,3,2
SparseIntArray,377,setup_156,16274,6,1,1
SparseIntArray,377,setup_156,16865,9,2,1
SparseIntArray,377,setup_156,16970,10,1,1
SparseIntArray,377,setup_156,17021,11,1,1
SparseIntArray,377,setup_156,17294,13,1,1
SparseIntArray,377,setup_156,17567,14,2,1
SparseIntArray,377,setup_156,17969,17,1,1
SparseIntArray,377,setup_156,18421,18,3,4
SparseIntArray,377,setup_156,18775,19,3,2
SparseIntArray,379,setup_150,15470,1,1,1
SparseIntArray,379,setup_150,15512,2,1,1
SparseIntArray,380,setup_165,15424,1,1,1
SparseIntArray,380,setup_165,15452,2,1,1
SparseIntArray,380,setup_165,15509,3,2,1
SparseIntArray,380,setup_165,15557,4,2,1
SparseIntArray,380,setup_165,16631,18,2,1
SparseIntArray,380,setup_165,16779,20,1,1
SparseIntArray,383,setup_164,15426,1,1,1
SparseIntArray,383,setup_164,15448,2,1,1
SparseIntArray,383,setup_164,15525,4,1,1
SparseIntArray,383,setup_164,15639,5,3,1
SparseIntArray,383,setup_164,15739,6,1,2
SparseIntArray,383,setup_164,16150,11,2,1
SparseIntArray,383,setup_164,16190,12,1,1
SparseIntArray,383,setup_164,16304,14,2,1
SparseIntArray,383,setup_164,16655,19,2,1
SparseIntArray,384,setup_151,15434,1,1,1
SparseIntArray,384,setup_151,15611,2,1,1
SparseIntArray,387,setup_152,15436,1,1,1
SparseIntArray,387,setup_152,15592,2,1,1
SparseIntArray,390,setup_163,15430,1,1,1
SparseIntArray,390,setup_163,15440,2,1,1
SparseIntArray,390,setup_163,15480,3,2,1
SparseIntArray,390,setup_163,15632,5,3,1
SparseIntArray,390,setup_163,16179,11,3,1
SparseIntArray,390,setup_163,17252,17,3,1
SparseIntArray,394,setup_162,15428,1,1,1
SparseIntArray,394,setup_162,15576,2,2,2
SparseIntArray,394,setup_162,15828,3,2,1
SparseIntArray,394,setup_162,15966,4,1,1
SparseIntArray,394,setup_162,16065,5,2,1
SparseIntArray,394,setup_162,16284,7,1,1
SparseIntArray,394,setup_162,16550,10,1,1
SparseIntArray,394,setup_162,16591,11,2,1
SparseIntArray,394,setup_162,16825,13,2,1
SparseIntArray,394,setup_162,16900,14,1,1
SparseIntArray,394,setup_162,16974,15,2,1
SparseIntArray,394,setup_162,17019,16,1,1
SparseIntArray,394,setup_162,17207,17,3,1
SparseIntArray,394,setup_162,17298,18,1,1
SparseIntArray,394,setup_162,17394,19,3,1
SparseIntArray,394,setup_162,17654,20,2,1
IntHashMap,413,setup_194,20895,11,1,1
IntHashMap,413,setup_194,23109,18,2,1
IntHashMap,413,setup_194,23497,20,2,1
IntHashMap,413,setup_194,18931,1,1,1
IntHashMap,413,setup_194,19027,2,1,1
IntHashMap,413,setup_194,19462,3,3,1
IntHashMap,413,setup_194,19584,4,1,1
IntHashMap,413,setup_194,19778,5,1,1
IntHashMap,413,setup_194,20040,6,2,1
IntHashMap,413,setup_194,20271,7,1,1
IntHashMap,413,setup_194,20478,8,1,1
IntHashMap,413,setup_194,20601,9,1,1
IntHashMap,413,setup_194,20770,10,1,1
IntHashMap,413,setup_194,21872,14,3,1
IntHashMap,413,setup_194,22259,15,2,1
IntHashMap,413,setup_194,22495,16,1,1
IntHashMap,414,setup_195,20596,8,1,1
IntHashMap,414,setup_195,20785,9,1,1
IntHashMap,414,setup_195,21286,11,2,1
IntHashMap,414,setup_195,23589,19,3,1
IntHashMap,414,setup_195,23830,20,1,1
IntHashMap,414,setup_195,18890,1,1,1
IntHashMap,414,setup_195,19001,2,1,1
IntHashMap,414,setup_195,19594,3,2,1
IntHashMap,414,setup_195,19773,4,1,1
IntHashMap,414,setup_195,20110,6,1,1
IntHashMap,414,setup_195,21623,12,2,1
IntHashMap,414,setup_195,20358,7,1,1
IntHashMap,414,setup_195,21039,10,1,1
IntHashMap,414,setup_195,21876,13,1,1
IntHashMap,414,setup_195,22293,14,2,1
IntHashMap,418,setup_200,20183,10,2,1
IntHashMap,418,setup_200,20307,11,1,1
IntHashMap,418,setup_200,20822,13,2,1
IntHashMap,418,setup_200,21032,14,1,1
IntHashMap,418,setup_200,21281,15,1,1
IntHashMap,418,setup_200,22951,20,3,1
IntHashMap,418,setup_200,18939,1,1,1
IntHashMap,418,setup_200,19019,2,1,1
IntHashMap,418,setup_200,19137,3,1,1
IntHashMap,418,setup_200,19258,4,1,1
IntHashMap,418,setup_200,19305,5,1,1
IntHashMap,418,setup_200,19455,6,1,1
IntHashMap,418,setup_200,19523,7,1,1
IntHashMap,418,setup_200,19798,8,2,1
IntHashMap,418,setup_200,20007,9,2,1
IntHashMap,418,setup_200,20580,12,2,2
IntHashMap,418,setup_200,21742,17,1,1
IntHashMap,418,setup_200,22123,18,3,1
IntHashMap,418,setup_200,22507,19,3,1
IntHashMap,419,setup_201,20280,12,1,1
IntHashMap,419,setup_201,20720,14,1,1
IntHashMap,419,setup_201,21288,16,1,1
IntHashMap,419,setup_201,18887,1,1,1
IntHashMap,419,setup_201,18927,2,1,1
IntHashMap,419,setup_201,18989,3,1,1
IntHashMap,419,setup_201,19105,4,1,1
IntHashMap,419,setup_201,19262,5,1,1
IntHashMap,419,setup_201,19293,6,1,1
IntHashMap,419,setup_201,19505,7,2,1
IntHashMap,419,setup_201,19795,9,1,1
IntHashMap,419,setup_201,21574,17,2,2
IntHashMap,419,setup_201,20019,10,1,1
IntHashMap,419,setup_201,20106,11,1,1
IntHashMap,419,setup_201,20561,13,1,1
IntHashMap,419,setup_201,21047,15,3,1
IntHashMap,419,setup_201,21950,19,1,2
Rational,438,setup_50,18959,1,1,1
Rational,438,setup_50,19034,2,1,1
Rational,438,setup_50,19175,3,1,1
Rational,438,setup_50,19314,4,1,1
Rational,438,setup_50,19515,5,2,1
Rational,438,setup_50,19583,6,1,1
Rational,438,setup_50,19701,7,1,1
Rational,438,setup_50,19897,9,1,1
Rational,438,setup_50,20369,11,3,1
Rational,438,setup_50,20670,12,2,1
Rational,438,setup_50,21683,18,3,1
Rational,438,setup_50,21884,19,1,1
Rational,439,setup_51,21498,15,1,1
Rational,439,setup_51,18950,1,1,1
Rational,439,setup_51,18996,2,1,1
Rational,439,setup_51,19277,3,1,1
Rational,439,setup_51,19493,4,1,1
Rational,439,setup_51,19553,5,1,1
Rational,439,setup_51,19748,6,2,1
Rational,439,setup_51,19972,7,1,1
Rational,439,setup_51,20313,8,3,1
Rational,439,setup_51,20506,9,1,1
Rational,439,setup_51,20682,10,1,1
Rational,439,setup_51,20853,11,1,1
Rational,439,setup_51,20950,12,1,1
Rational,439,setup_51,21318,14,2,1
Rational,439,setup_51,21833,16,2,1
Rational,439,setup_51,22584,20,1,1
Rational,443,setup_56,18966,1,1,1
Rational,443,setup_56,19153,2,3,1
Rational,443,setup_56,19491,6,1,1
Rational,443,setup_56,19805,8,1,1
Rational,443,setup_56,19901,9,2,1
Rational,443,setup_56,20915,16,2,1
Rational,444,setup_57,19139,1,1,1
Rational,444,setup_57,19230,2,1,1
Rational,444,setup_57,19333,3,1,1
Rational,444,setup_57,19469,4,1,1
Rational,444,setup_57,19610,5,1,1
Rational,444,setup_57,19872,8,1,1
Rational,444,setup_57,20115,9,2,1
Rational,444,setup_57,20626,12,1,1
Rational,444,setup_57,20884,13,2,1
Rational,444,setup_57,21238,15,2,1
Rational,444,setup_57,21336,16,1,1
Rational,444,setup_57,21659,18,1,1
Option,460,setup_84,23397,12,2,1
Option,460,setup_84,23861,14,2,1
Option,460,setup_84,24046,15,1,1
Option,460,setup_84,24303,16,1,1
Option,460,setup_84,24552,17,2,1
Option,460,setup_84,20726,1,1,1
Option,460,setup_84,20872,2,1,1
Option,460,setup_84,21087,3,1,1
Option,460,setup_84,21306,4,1,1
Option,460,setup_84,21616,5,2,1
Option,460,setup_84,21816,6,1,1
Option,460,setup_84,22008,7,1,1
Option,460,setup_84,22426,8,2,1
Option,460,setup_84,22603,9,1,1
Option,460,setup_84,22929,10,2,1
Option,460,setup_84,23146,11,1,1
Option,460,setup_84,23604,13,1,1
Option,463,setup_86,23487,6,2,1
Option,463,setup_86,23920,8,1,1
Option,463,setup_86,24597,11,1,1
Option,463,setup_86,22129,1,1,1
Option,463,setup_86,22346,2,1,1
Option,463,setup_86,23025,4,2,1
Option,463,setup_86,23239,5,1,1
Option,463,setup_86,25846,15,3,1
Option,463,setup_86,26740,18,1,1
Option,463,setup_86,26922,19,1,1
Option,464,setup_87,23546,6,1,1
Option,464,setup_87,23890,7,3,1
Option,464,setup_87,24483,9,3,1
Option,464,setup_87,25011,11,1,1
Option,464,setup_87,25309,12,3,1
Option,464,setup_87,22144,1,1,1
Option,464,setup_87,22439,2,1,1
Option,464,setup_87,22761,3,2,1
Option,464,setup_87,24106,8,1,1
Option,464,setup_87,25937,14,1,1
Option,464,setup_87,26159,15,1,1
Option,464,setup_87,25695,13,3,1
Option,464,setup_87,26724,17,1,1
Option,465,setup_90,23704,10,1,1
Option,465,setup_90,23904,11,1,1
Option,465,setup_90,24129,12,1,1
Option,465,setup_90,24286,13,1,1
Option,465,setup_90,24593,14,1,1
Option,465,setup_90,24784,15,1,1
Option,465,setup_90,24984,16,1,1
Option,465,setup_90,25169,17,1,1
Option,465,setup_90,25332,18,1,1
Option,465,setup_90,25543,19,1,1
Option,465,setup_90,25728,20,1,1
Option,465,setup_90,22309,1,1,1
Option,465,setup_90,22478,2,1,1
Option,465,setup_90,22681,3,1,1
Option,465,setup_90,22785,4,1,1
Option,465,setup_90,22941,5,1,1
Option,465,setup_90,23054,6,1,1
Option,465,setup_90,23179,7,1,1
Option,465,setup_90,23292,8,1,1
Option,465,setup_90,23432,9,1,1
Option,466,setup_91,24080,10,1,1
Option,466,setup_91,24259,11,1,1
Option,466,setup_91,24433,12,1,1
Option,466,setup_91,24547,13,1,1
Option,466,setup_91,24765,14,1,1
Option,466,setup_91,25016,15,1,1
Option,466,setup_91,25234,16,1,1
Option,466,setup_91,25444,17,1,1
Option,466,setup_91,22354,1,1,1
Option,466,setup_91,22529,2,1,1
Option,466,setup_91,22747,3,1,1
Option,466,setup_91,22901,4,1,1
Option,466,setup_91,23158,5,1,1
Option,466,setup_91,23373,6,1,1
Option,466,setup_91,23550,7,1,1
Option,466,setup_91,23723,8,1,1
Option,466,setup_91,23935,9,1,1
Option,466,setup_91,25701,18,1,2
Option,466,setup_91,25903,19,1,1
Option,466,setup_91,26132,20,1,1
XmlElement,470,setup_108,22895,1,1,1
XmlElement,470,setup_108,23113,2,1,1
XmlElement,470,setup_108,23247,3,1,1
XmlElement,470,setup_108,23571,4,2,1
XmlElement,470,setup_108,23795,5,1,1
XmlElement,470,setup_108,23994,6,1,2
XmlElement,470,setup_108,24210,7,1,1
XmlElement,470,setup_108,24464,8,1,1
XmlElement,470,setup_108,24711,9,3,1
XmlElement,470,setup_108,24970,10,2,1
XmlElement,470,setup_108,25319,12,2,1
XmlElement,470,setup_108,25460,13,1,1
XmlElement,470,setup_108,25810,15,1,1
XmlElement,470,setup_108,26112,16,3,1
XmlElement,470,setup_108,26372,17,1,1
XmlElement,470,setup_108,26634,18,3,1
XmlElement,470,setup_108,27027,19,3,1
XmlElement,470,setup_108,27230,20,1,1
XmlElement,471,setup_109,23008,1,1,1
XmlElement,471,setup_109,23189,2,1,1
XmlElement,471,setup_109,23369,3,1,1
XmlElement,471,setup_109,23566,4,1,1
XmlElement,471,setup_109,23771,5,1,1
XmlElement,471,setup_109,23924,6,1,1
XmlElement,471,setup_109,24125,7,1,1
XmlElement,471,setup_109,24438,8,2,1
XmlElement,471,setup_109,24614,9,1,1
XmlElement,471,setup_109,24878,10,1,1
XmlElement,471,setup_109,25107,11,1,1
XmlElement,471,setup_109,25250,12,1,1
XmlElement,471,setup_109,25527,13,3,2
XmlElement,471,setup_109,25794,14,1,1
XmlElement,471,setup_109,26100,15,2,1
XmlElement,471,setup_109,26366,16,1,1
XmlElement,471,setup_109,26604,17,1,1
XmlElement,471,setup_109,26945,18,2,1
XmlElement,471,setup_109,27213,19,1,1
XmlElement,471,setup_109,27469,20,3,1
XmlElement,473,setup_110,23040,1,1,1
XmlElement,473,setup_110,23175,2,2,1
XmlElement,473,setup_110,23271,3,2,1
XmlElement,473,setup_110,23617,6,1,1
XmlElement,473,setup_110,23998,9,1,1
XmlElement,473,setup_110,24842,14,1,1
XmlElement,473,setup_110,25131,15,1,1
XmlElement,473,setup_110,25878,18,2,1
XmlElement,474,setup_111,23106,1,1,1
XmlElement,474,setup_111,23251,2,1,1
XmlElement,474,setup_111,23315,3,1,1
XmlElement,474,setup_111,23515,4,1,1
XmlElement,474,setup_111,23739,5,1,1
XmlElement,474,setup_111,23952,6,2,1
XmlElement,474,setup_111,24200,7,1,1
XmlElement,474,setup_111,24445,8,1,1
XmlElement,474,setup_111,24745,10,2,1
XmlElement,474,setup_111,24987,11,1,1
XmlElement,474,setup_111,25290,12,3,1
XmlElement,474,setup_111,25647,14,3,1
XmlElement,474,setup_111,25972,15,3,1
XmlElement,474,setup_111,26412,17,2,1
XmlElement,474,setup_111,26683,18,1,1
XmlElement,474,setup_111,27005,19,1,1
XmlElement,474,setup_111,27245,20,1,1
XmlElement,475,setup_114,23354,1,1,2
XmlElement,476,setup_115,23639,2,1,2
XmlElement,476,setup_115,23872,3,1,4
XmlElement,476,setup_115,24110,4,1,4
XmlElement,476,setup_115,24374,5,1,3
XmlElement,476,setup_115,25626,11,2,2
XmlElement,476,setup_115,25921,12,1,3
XmlElement,476,setup_115,27175,18,3,1
XmlElement,478,setup_116,23821,1,1,3
XmlElement,479,setup_117,23956,1,1,1
XmlElement,479,setup_117,24477,3,1,1
XmlElement,479,setup_117,24822,5,1,1
XmlElement,479,setup_117,25434,7,3,4
XmlElement,479,setup_117,26232,10,2,2
XmlElement,479,setup_117,26650,12,1,1
XmlElement,479,setup_117,27066,13,2,3
XmlElement,485,setup_120,28030,12,1,1
XmlElement,485,setup_120,25556,1,1,1
XmlElement,485,setup_120,25812,2,1,1
XmlElement,485,setup_120,26155,3,2,2
XmlElement,485,setup_120,26318,4,1,1
XmlElement,485,setup_120,26729,6,1,2
XmlElement,485,setup_120,26963,7,2,2
XmlElement,485,setup_120,27270,8,2,2
XmlElement,485,setup_120,27631,10,1,1
XmlElement,485,setup_120,27816,11,2,1
XmlElement,485,setup_120,28328,14,1,1
XmlElement,485,setup_120,28499,15,3,1
XmlElement,485,setup_120,28707,17,1,1
XmlElement,485,setup_120,28769,18,1,1
XmlElement,485,setup_120,28887,19,2,1
XmlElement,485,setup_120,28989,20,2,1
XmlElement,486,setup_121,25828,1,1,1
XmlElement,486,setup_121,26008,2,1,1
XmlElement,486,setup_121,26186,3,1,1
XmlElement,486,setup_121,26376,4,1,1
XmlElement,486,setup_121,26542,5,1,1
XmlElement,486,setup_121,26747,6,1,1
XmlElement,486,setup_121,27058,7,1,2
XmlElement,486,setup_121,27262,8,1,1
XmlElement,486,setup_121,27324,9,1,1
XmlElement,486,setup_121,27503,10,1,1
XmlElement,486,setup_121,27913,11,3,1
XmlElement,486,setup_121,28127,12,1,1
XmlElement,486,setup_121,28362,13,1,1
XmlElement,486,setup_121,28530,14,1,1
XmlElement,486,setup_121,28691,15,1,1
XmlElement,486,setup_121,28841,16,1,1
XmlElement,486,setup_121,29036,18,2,1
XmlElement,486,setup_121,29063,19,1,1
XmlElement,486,setup_121,29122,20,2,1
XmlElement,488,setup_122,28021,13,2,1
XmlElement,488,setup_122,26305,1,1,1
XmlElement,488,setup_122,26370,2,1,1
XmlElement,488,setup_122,26500,3,1,1
XmlElement,488,setup_122,26707,4,3,1
XmlElement,488,setup_122,26939,5,1,1
XmlElement,488,setup_122,27023,6,1,1
XmlElement,488,setup_122,27249,7,1,1
XmlElement,488,setup_122,27437,8,2,1
XmlElement,488,setup_122,27647,10,1,1
XmlElement,488,setup_122,27724,11,1,1
XmlElement,488,setup_122,28494,17,3,1
XmlElement,489,setup_123,28085,11,1,1
XmlElement,489,setup_123,26448,1,1,1
XmlElement,489,setup_123,26599,2,1,1
XmlElement,489,setup_123,26856,3,1,1
XmlElement,489,setup_123,27078,4,3,1
XmlElement,489,setup_123,27129,5,1,1
XmlElement,489,setup_123,27331,6,3,1
XmlElement,489,setup_123,27517,7,1,1
XmlElement,489,setup_123,27667,8,1,1
XmlElement,489,setup_123,27759,9,1,1
XmlElement,489,setup_123,27946,10,2,1
XmlElement,489,setup_123,28194,12,1,1
XmlElement,489,setup_123,29003,19,2,1
XmlElement,489,setup_123,29097,20,3,1
XmlElement,490,setup_126,28047,11,2,1
XmlElement,490,setup_126,26616,1,1,1
XmlElement,490,setup_126,26791,2,1,1
XmlElement,490,setup_126,26982,3,2,1
XmlElement,490,setup_126,27158,4,1,1
XmlElement,490,setup_126,27375,5,3,1
XmlElement,490,setup_126,27457,6,1,1
XmlElement,490,setup_126,27552,7,2,1
XmlElement,490,setup_126,27727,8,1,1
XmlElement,490,setup_126,27811,9,2,1
XmlElement,490,setup_126,27857,10,1,1
XmlElement,490,setup_126,28234,12,2,1
XmlElement,490,setup_126,28385,13,2,1
XmlElement,490,setup_126,28435,14,2,1
XmlElement,490,setup_126,28597,16,2,1
XmlElement,490,setup_126,28810,18,3,1
XmlElement,490,setup_126,28882,19,2,1
XmlElement,490,setup_126,28913,20,1,1
XmlElement,491,setup_127,28069,10,2,1
XmlElement,491,setup_127,26862,1,1,1
XmlElement,491,setup_127,26920,2,1,1
XmlElement,491,setup_127,27003,3,2,1
XmlElement,491,setup_127,27190,4,1,1
XmlElement,491,setup_127,27396,5,1,1
XmlElement,491,setup_127,27460,6,1,1
XmlElement,491,setup_127,27530,7,2,1
XmlElement,491,setup_127,27767,8,2,1
XmlElement,491,setup_127,28260,11,1,1
XmlElement,491,setup_127,28468,12,3,1
XmlElement,491,setup_127,28641,13,2,1
XmlElement,491,setup_127,28686,14,2,1
XmlElement,491,setup_127,28825,15,1,1
XmlElement,491,setup_127,28943,16,3,1
XmlElement,491,setup_127,29019,17,1,1
XmlElement,491,setup_127,29105,18,1,1
XmlElement,491,setup_127,29127,19,2,1
XmlElement,491,setup_127,29156,20,1,1
XmlElement,493,setup_128,28027,12,3,1
XmlElement,493,setup_128,28063,13,1,1
XmlElement,493,setup_128,26888,1,1,1
XmlElement,493,setup_128,26965,2,1,1
XmlElement,493,setup_128,27038,3,1,1
XmlElement,493,setup_128,27199,4,3,1
XmlElement,493,setup_128,27266,5,1,1
XmlElement,493,setup_128,27327,6,2,1
XmlElement,493,setup_128,27412,7,1,1
XmlElement,493,setup_128,27582,8,2,1
XmlElement,493,setup_128,27651,9,1,1
XmlElement,493,setup_128,27720,10,2,1
XmlElement,493,setup_128,27871,11,1,1
XmlElement,493,setup_128,28143,14,1,1
XmlElement,493,setup_128,28228,15,3,1
XmlElement,493,setup_128,28324,16,2,1
XmlElement,493,setup_128,28402,17,1,1
XmlElement,493,setup_128,28440,18,2,1
XmlElement,494,setup_129,27991,8,1,1
XmlElement,494,setup_129,27146,1,1,1
XmlElement,494,setup_129,27211,2,1,1
XmlElement,494,setup_129,27380,3,1,1
XmlElement,494,setup_129,27568,4,2,1
XmlElement,494,setup_129,27685,5,2,1
XmlElement,494,setup_129,27743,6,1,1
XmlElement,494,setup_129,27929,7,1,1
XmlElement,494,setup_129,28175,9,1,1
XmlElement,494,setup_129,28346,10,2,1
XmlElement,494,setup_129,28404,11,1,1
XmlElement,494,setup_129,28450,13,1,1
XmlElement,494,setup_129,28610,14,3,1
XmlElement,494,setup_129,28719,16,1,1
XmlElement,494,setup_129,28772,17,2,1
XmlElement,494,setup_129,28851,18,2,1
XmlElement,494,setup_129,28857,19,1,1
ByteVector,496,setup_234,29345,1,1,1
ByteVector,496,setup_234,29376,2,1,1
ByteVector,496,setup_234,29584,3,1,1
ByteVector,496,setup_234,29757,4,1,1
ByteVector,497,setup_228,29380,1,1,3
ByteVector,497,setup_228,29552,2,1,1
ByteVector,497,setup_228,29705,3,1,1
ByteVector,497,setup_228,30040,4,3,1
ByteVector,497,setup_228,30255,5,2,1
ByteVector,497,setup_228,30681,7,2,1
ByteVector,497,setup_228,30872,8,1,1
ByteVector,497,setup_228,31061,9,1,1
ByteVector,497,setup_228,31199,10,1,1
ByteVector,497,setup_228,31432,11,3,1
ByteVector,497,setup_228,31691,12,3,1
ByteVector,497,setup_228,31874,13,1,1
ByteVector,497,setup_228,32132,14,2,1
ByteVector,497,setup_228,33143,19,2,1
ByteVector,505,setup_225,29211,1,1,1
ByteVector,505,setup_225,29316,2,1,1
ByteVector,505,setup_225,29511,3,1,2
ByteVector,505,setup_225,29650,4,1,1
ByteVector,505,setup_225,30045,6,2,1
ByteVector,505,setup_225,30291,7,1,3
ByteVector,505,setup_225,30625,9,1,1
ByteVector,505,setup_225,30783,10,1,1
ByteVector,505,setup_225,30901,11,1,1
ByteVector,505,setup_225,32473,16,1,1
ByteVector,505,setup_225,32636,17,1,1
ByteVector,505,setup_225,32765,18,1,2
ByteVector,508,setup_237,30030,9,1,2
ByteVector,508,setup_237,31053,15,3,1
ByteVector,508,setup_237,31369,17,2,1
ByteVector,508,setup_237,31683,19,1,1
ByteVector,508,setup_237,29852,7,1,1
ByteVector,508,setup_237,29172,1,1,1
ByteVector,508,setup_237,29325,2,1,1
ByteVector,508,setup_237,29365,3,1,1
ByteVector,508,setup_237,29465,4,1,1
ByteVector,508,setup_237,29572,5,1,1
ByteVector,508,setup_237,29648,6,1,1
ByteVector,508,setup_237,29947,8,1,1
ByteVector,508,setup_237,30103,10,1,2
